id,slug,category,title_zh,title_en,title_ja,prompt_zh_hk,prompt_en,prompt_ja,scene_keywords,target_audience,material_keywords,filename_zh_hk,filename_en,filename_ja,alt_zh_hk,alt_en,alt_ja
BLOG-01,company-intro,公司新聞,智印港印刷公司簡介,About ZprintPro,ZprintPro会社概要,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

現代化印刷工廠內部，海德堡印刷機運作中，專業技術人員操作設備。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「智印港印刷公司簡介」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：印刷工廠,海德堡印刷機,專業印刷。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Modern printing factory interior, Heidelberg press in operation, skilled technicians operating equipment。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「About ZprintPro」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：printing factory, Heidelberg press, professional printing。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

現代の印刷工場内部、ハイデルベルグ印刷機が稼働中、熟練技術者が設備を操作。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「ZprintPro会社概要」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：印刷工場,ハイデルベルグ印刷機,プロ印刷。","現代化印刷工廠內部，海德堡印刷機運作中，專業技術人員操作設備","印刷行業從業者、設計師、企業市場部","印刷工廠,海德堡印刷機,專業印刷",blog-company-intro-zh-hk.jpg,blog-company-intro-en.jpg,blog-company-intro-ja.jpg,"智印港印刷公司簡介","About ZprintPro","ZprintPro会社概要"
BLOG-02,sticker-guide,貼紙知識,香港貼紙印刷完全指南,Complete Sticker Printing Guide,ステッカー印刷完全ガイド,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

各種貼紙材質樣本平鋪展示：防水貼紙、透明貼紙、燙金貼紙、螢光貼紙，色彩鮮豔。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「香港貼紙印刷完全指南」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：貼紙材質,防水貼紙,燙金貼紙。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Various sticker material samples laid out: waterproof, transparent, foil, fluorescent stickers, vibrant colors。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Complete Sticker Printing Guide」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：sticker materials, waterproof stickers, foil stickers。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

様々なステッカー素材サンプル：防水、透明、箔押し、蛍光ステッカー、鮮やかな色彩。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「ステッカー印刷完全ガイド」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：ステッカー素材,防水ステッカー,箔押しステッカー。","各種貼紙材質樣本平鋪展示：防水貼紙、透明貼紙、燙金貼紙、螢光貼紙，色彩鮮豔","印刷行業從業者、設計師、企業市場部","貼紙材質,防水貼紙,燙金貼紙",blog-sticker-guide-zh-hk.jpg,blog-sticker-guide-en.jpg,blog-sticker-guide-ja.jpg,"香港貼紙印刷完全指南","Complete Sticker Printing Guide","ステッカー印刷完全ガイド"
BLOG-03,business-card-design,名片知識,名片設計的10個黃金法則,10 Golden Rules for Business Card Design,名刺デザインの10の黄金法則,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

設計師桌面場景：多張精美名片設計稿、色卡、排版工具、咖啡杯，創意工作氛圍。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「名片設計的10個黃金法則」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：名片設計,排版,色彩搭配。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Designer desk scene: multiple elegant business card designs, color swatches, layout tools, coffee cup, creative workspace。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「10 Golden Rules for Business Card Design」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：business card design, typography, color matching。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

デザイナーの机：複数のエレガントな名刺デザイン、カラースウォッチ、レイアウトツール、コーヒーカップ、クリエイティブな作業空間。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「名刺デザインの10の黄金法則」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：名刺デザイン,タイポグラフィ,配色。","設計師桌面場景：多張精美名片設計稿、色卡、排版工具、咖啡杯，創意工作氛圍","印刷行業從業者、設計師、企業市場部","名片設計,排版,色彩搭配",blog-business-card-design-zh-hk.jpg,blog-business-card-design-en.jpg,blog-business-card-design-ja.jpg,"名片設計的10個黃金法則","10 Golden Rules for Business Card Design","名刺デザインの10の黄金法則"
BLOG-04,packaging-trends,包裝知識,2024包裝盒設計趨勢解析,2024 Packaging Design Trends,2024年パッケージデザイントレンド,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

精緻包裝盒陳列：極簡白盒、環保牛皮紙盒、燙金禮盒、彩色化妝品盒，貨架展示效果。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「2024包裝盒設計趨勢解析」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：包裝設計,極簡主義,環保包裝。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Elegant packaging box display: minimalist white boxes, eco kraft boxes, foil gift boxes, colorful cosmetic boxes, shelf display。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「2024 Packaging Design Trends」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：packaging design, minimalism, eco packaging。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

エレガントな包装箱ディスプレイ：ミニマリスト白箱、エコクラフト箱、箔押しギフトボックス、カラフル化粧品箱、棚展示。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「2024年パッケージデザイントレンド」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：パッケージデザイン,ミニマリズム,エコ包装。","精緻包裝盒陳列：極簡白盒、環保牛皮紙盒、燙金禮盒、彩色化妝品盒，貨架展示效果","印刷行業從業者、設計師、企業市場部","包裝設計,極簡主義,環保包裝",blog-packaging-trends-zh-hk.jpg,blog-packaging-trends-en.jpg,blog-packaging-trends-ja.jpg,"2024包裝盒設計趨勢解析","2024 Packaging Design Trends","2024年パッケージデザイントレンド"
BLOG-05,cmyk-guide,印刷工藝,CMYK vs RGB印刷色彩模式詳解,CMYK vs RGB Color Modes,CMYK vs RGB カラーモード解説,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

色彩對比視覺：CMYK色票與RGB色票並排對比，印刷機墨鍵特寫，色彩漸變效果。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「CMYK vs RGB印刷色彩模式詳解」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：CMYK,RGB,色彩管理。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Color comparison visual: CMYK and RGB swatches side by side, printing press ink keys close-up, color gradient effects。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「CMYK vs RGB Color Modes」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：CMYK, RGB, color management。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

カラー比較ビジュアル：CMYKとRGBスウォッチを並べて、印刷機のインキキークローズアップ、カラーグラデーション効果。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「CMYK vs RGB カラーモード解説」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：CMYK,RGB,カラーマネージメント。","色彩對比視覺：CMYK色票與RGB色票並排對比，印刷機墨鍵特寫，色彩漸變效果","印刷行業從業者、設計師、企業市場部","CMYK,RGB,色彩管理",blog-cmyk-guide-zh-hk.jpg,blog-cmyk-guide-en.jpg,blog-cmyk-guide-ja.jpg,"CMYK vs RGB印刷色彩模式詳解","CMYK vs RGB Color Modes","CMYK vs RGB カラーモード解説"
BLOG-06,paper-materials,印刷工藝,印刷紙材選擇指南,Paper Selection Guide,印刷用紙選択ガイド,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

多種紙張樣本展示：銅版紙、啞粉紙、牛皮紙、棉紙、珠光紙，觸感質感對比。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「印刷紙材選擇指南」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：印刷紙張,銅版紙,特種紙。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Various paper samples display: glossy art paper, matte paper, kraft paper, cotton paper, pearl paper, texture comparison。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Paper Selection Guide」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：printing paper, art paper, specialty paper。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

様々な紙サンプル展示：コート紙、マット紙、クラフト紙、綿紙、パール紙、質感比較。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「印刷用紙選択ガイド」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：印刷用紙,コート紙,特殊紙。","多種紙張樣本展示：銅版紙、啞粉紙、牛皮紙、棉紙、珠光紙，觸感質感對比","印刷行業從業者、設計師、企業市場部","印刷紙張,銅版紙,特種紙",blog-paper-materials-zh-hk.jpg,blog-paper-materials-en.jpg,blog-paper-materials-ja.jpg,"印刷紙材選擇指南","Paper Selection Guide","印刷用紙選択ガイド"
BLOG-07,eco-printing,行業趨勢,環保印刷：企業ESG與可持續包裝,Eco-Friendly Printing & ESG,エコ印刷と持続可能な包装,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

綠色環保印刷場景：FSC認證標誌、再生紙產品、大豆油墨、綠色植物裝飾，自然光線。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「環保印刷：企業ESG與可持續包裝」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：環保印刷,ESG,再生紙。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Green eco-printing scene: FSC certification logo, recycled paper products, soy-based inks, green plant decoration, natural lighting。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Eco-Friendly Printing & ESG」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：eco printing, ESG, recycled paper。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

グリーンエコ印刷シーン：FSC認証ロゴ、再生紙製品、大豆インク、緑の植物装飾、自然光。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「エコ印刷と持続可能な包装」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：エコ印刷,ESG,再生紙。","綠色環保印刷場景：FSC認證標誌、再生紙產品、大豆油墨、綠色植物裝飾，自然光線","印刷行業從業者、設計師、企業市場部","環保印刷,ESG,再生紙",blog-eco-printing-zh-hk.jpg,blog-eco-printing-en.jpg,blog-eco-printing-ja.jpg,"環保印刷：企業ESG與可持續包裝","Eco-Friendly Printing & ESG","エコ印刷と持続可能な包装"
BLOG-08,hong-kong-printing-guide,香港本地,香港印刷公司選擇完全指南,Hong Kong Printing Company Guide,香港印刷会社選びガイド,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

香港城市景觀與印刷元素結合：觀塘工業區街景、印刷公司招牌、維港天際線背景。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「香港印刷公司選擇完全指南」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：香港印刷,觀塘,印刷公司。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Hong Kong cityscape with printing elements: Kwun Tong industrial district street view, printing company signage, Victoria Harbour skyline background。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Hong Kong Printing Company Guide」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：Hong Kong printing, Kwun Tong, printing company。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

香港の街並みと印刷要素：観塘工業地区の街並み、印刷会社の看板、ビクトリアハーバーのスカイライン背景。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「香港印刷会社選びガイド」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：香港印刷,観塘,印刷会社。","香港城市景觀與印刷元素結合：觀塘工業區街景、印刷公司招牌、維港天際線背景","印刷行業從業者、設計師、企業市場部","香港印刷,觀塘,印刷公司",blog-hong-kong-printing-guide-zh-hk.jpg,blog-hong-kong-printing-guide-en.jpg,blog-hong-kong-printing-guide-ja.jpg,"香港印刷公司選擇完全指南","Hong Kong Printing Company Guide","香港印刷会社選びガイド"
BLOG-09,design-file-specs,設計技巧,印刷文件設計規範,Print File Design Specs,印刷用デザインファイル仕様,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

設計師電腦屏幕特寫：Illustrator界面顯示出血位標記、300dpi解析度設置、CMYK色彩模式。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「印刷文件設計規範」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：出血位,分辨率,色彩模式。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Designer computer screen close-up: Illustrator interface showing bleed marks, 300dpi resolution setting, CMYK color mode。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Print File Design Specs」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：bleed, resolution, color mode。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

デザイナーのコンピュータ画面クローズアップ：Illustratorインターフェースに裁ち落としマーク、300dpi解像度設定、CMYKカラーモード。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「印刷用デザインファイル仕様」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：裁ち落とし,解像度,カラーモード。","設計師電腦屏幕特寫：Illustrator界面顯示出血位標記、300dpi解析度設置、CMYK色彩模式","印刷行業從業者、設計師、企業市場部","出血位,分辨率,色彩模式",blog-design-file-specs-zh-hk.jpg,blog-design-file-specs-en.jpg,blog-design-file-specs-ja.jpg,"印刷文件設計規範","Print File Design Specs","印刷用デザインファイル仕様"
BLOG-10,brand-materials-checklist,品牌建設,企業品牌物料清單,Brand Materials Checklist,企業ブランド物料チェックリスト,"16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

完整品牌物料套裝展示：名片、信封、信紙、文件夾、宣傳單張統一排列，品牌視覺一致。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「企業品牌物料清單」，背景簡潔不雜亂。所有中文字符必须笔画完整准确。

關鍵詞視覺元素：品牌物料,名片,信封,信紙。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

Complete brand material set display: business cards, envelopes, letterheads, folders, flyers arranged uniformly, consistent brand visual。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「Brand Materials Checklist」，背景簡潔不雜亂。All English words must be spelled correctly。

關鍵詞視覺元素：brand materials, business cards, envelopes, letterheads。","16:9宽屏比例，8K超高清文章配图。画面中绝对不出现任何水印、品牌名、乱码。

完全なブランド物料セット：名刺、封筒、便箋、フォルダ、チラシを統一的に配置、一貫したブランドビジュアル。畫面構圖專業，色彩飽和度適中，光影自然，適合用作博客文章封面圖和OG Image。畫面上方預留20%空間用於後期叠加文字標題「企業ブランド物料チェックリスト」，背景簡潔不雜亂。すべての日本語文字が正確であること。

關鍵詞視覺元素：ブランド物料,名刺,封筒,便箋。","完整品牌物料套裝展示：名片、信封、信紙、文件夾、宣傳單張統一排列，品牌視覺一致","印刷行業從業者、設計師、企業市場部","品牌物料,名片,信封,信紙",blog-brand-materials-checklist-zh-hk.jpg,blog-brand-materials-checklist-en.jpg,blog-brand-materials-checklist-ja.jpg,"企業品牌物料清單","Brand Materials Checklist","企業ブランド物料チェックリスト"
