id,slug,category,name_zh,name_en,name_ja,price_range,is_hot,is_new,min_quantity,tag_line_zh,tag_sub_zh,tag_line_en,tag_sub_en,tag_line_ja,tag_sub_ja,prompt_zh_hk,prompt_en,prompt_ja,scene_keywords,target_audience,material_keywords
BC-001,premium-business-cards,business-cards,高級商務咭片,Premium Business Cards,高級名刺,HK$100-180/100張,TRUE,FALSE,100,高級商務咭片｜100張 HK$100起,熱賣中・免費設計,Premium Business Cards｜From HK$100,Hot Sale · Free Design,高級名刺｜100枚 HK$100〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：高級商務咭片｜100張 HK$100起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张高級商務咭片整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，啞膠質感低調內斂，光膠表面亮麗通透工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Premium Business Cards｜From HK$100, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Premium Business Cards neatly arranged on dark walnut desk, some slightly angled showing thickness, professional 4-color printing vibrant colors details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：高級名刺｜100枚 HK$100〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列した高級名刺100枚、一部は角度を付けて厚みを見せ、プロ4色印刷鮮やかな色彩のディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,啞膠質感低調內斂，光膠表面亮麗通透
BC-002,thick-business-cards-400g,business-cards,厚身咭片(400g),Thick Business Cards (400g),厚紙名刺(400g),HK$120-220/100張,TRUE,FALSE,100,厚身咭片(400g)｜100張 HK$120起,熱賣中・免費設計,Thick Business Cards (400g)｜From HK$120,Hot Sale · Free Design,厚紙名刺(400g)｜100枚 HK$120〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：厚身咭片(400g)｜100張 HK$120起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张厚身咭片(400g)整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，厚實紙質手感極佳工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Thick Business Cards (400g)｜From HK$120, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Thick Business Cards (400g) neatly arranged on dark walnut desk, some slightly angled showing thickness, professional 4-color printing vibrant colors details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：厚紙名刺(400g)｜100枚 HK$120〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列した厚紙名刺(400g)100枚、一部は角度を付けて厚みを見せ、厚紙優れた手触りのディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,厚實紙質手感極佳
BC-003,foil-business-cards,business-cards,燙金/燙銀咭片,Foil Stamped Business Cards,箔押し名刺,HK$180-320/100張,TRUE,FALSE,100,燙金/燙銀咭片｜100張 HK$180起,熱賣中・免費設計,Foil Stamped Business Cards｜From HK$180,Hot Sale · Free Design,箔押し名刺｜100枚 HK$180〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：燙金/燙銀咭片｜100張 HK$180起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张燙金/燙銀咭片整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，燙金工藝閃耀奪目，燙銀工藝高檔質感工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Foil Stamped Business Cards｜From HK$180, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Foil Stamped Business Cards neatly arranged on dark walnut desk, some slightly angled showing thickness, professional 4-color printing vibrant colors details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：箔押し名刺｜100枚 HK$180〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列した箔押し名刺100枚、一部は角度を付けて厚みを見せ、グロス明るく透明のディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,燙金工藝閃耀奪目，燙銀工藝高檔質感
BC-004,spot-uv-business-cards,business-cards,UV局部光油咭片,Spot UV Business Cards,局部UV名刺,HK$140-260/100張,TRUE,FALSE,100,UV局部光油咭片｜100張 HK$140起,熱賣中・免費設計,Spot UV Business Cards｜From HK$140,Hot Sale · Free Design,局部UV名刺｜100枚 HK$140〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：UV局部光油咭片｜100張 HK$140起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张UV局部光油咭片整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，UV光油立體光澤，光面亮麗通透工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Spot UV Business Cards｜From HK$140, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Spot UV Business Cards neatly arranged on dark walnut desk, some slightly angled showing thickness, UV coating dimensional gloss details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：局部UV名刺｜100枚 HK$140〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列した局部UV名刺100枚、一部は角度を付けて厚みを見せ、UVコーティング立体的な光沢，グロス明るく透明のディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,UV光油立體光澤，光面亮麗通透
BC-005,matte-business-cards,business-cards,啞膠咭片,Matte Laminated Cards,マット名刺,HK$110-190/100張,FALSE,FALSE,100,啞膠咭片｜100張 HK$110起,免費設計・即日交貨,Matte Laminated Cards｜From HK$110,Free Design · Same Day,マット名刺｜100枚 HK$110〜,無料デザイン・即日発送,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：啞膠咭片｜100張 HK$110起，副标题：免費設計・即日交貨。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张啞膠咭片整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，啞膠質感低調內斂，啞面質感細膩工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Matte Laminated Cards｜From HK$110, sub: Free Design · Same Day. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Matte Laminated Cards neatly arranged on dark walnut desk, some slightly angled showing thickness, professional 4-color printing vibrant colors details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：マット名刺｜100枚 HK$110〜、副見出し：無料デザイン・即日発送。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列したマット名刺100枚、一部は角度を付けて厚みを見せ、プロ4色印刷鮮やかな色彩のディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,啞膠質感低調內斂，啞面質感細膩
BC-006,rounded-corner-cards,business-cards,圓角咭片,Rounded Corner Cards,丸角名刺,HK$100-170/100張,FALSE,FALSE,100,圓角咭片｜100張 HK$100起,免費設計・即日交貨,Rounded Corner Cards｜From HK$100,Free Design · Same Day,丸角名刺｜100枚 HK$100〜,無料デザイン・即日発送,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：圓角咭片｜100張 HK$100起，副标题：免費設計・即日交貨。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为100张圓角咭片整齐排列在深色胡桃木桌面，部分卡片微斜展示侧面厚度，專業四色印刷色彩鮮豔工艺细节清晰可见。背景虚化现代商务办公空间，暖黄台灯与皮面记事本隐约可见，暖棕调 professional atmosphere。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Rounded Corner Cards｜From HK$100, sub: Free Design · Same Day. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: 100 Rounded Corner Cards neatly arranged on dark walnut desk, some slightly angled showing thickness, professional 4-color printing vibrant colors details clearly visible. Background: blurred modern business office, warm yellow desk lamp and leather notebook, warm brown professional atmosphere. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：丸角名刺｜100枚 HK$100〜、副見出し：無料デザイン・即日発送。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：ダークウォールナットの机に整列した丸角名刺100枚、一部は角度を付けて厚みを見せ、プロ4色印刷鮮やかな色彩のディテールがはっきり見える。背景：ぼかしたモダンなビジネスオフィス、暖かい黄色のデスクライトと革のノート、プロフェッショナルな雰囲気。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",现代商务办公室,企業/專業人士,專業四色印刷色彩鮮豔
ST-001,waterproof-stickers,stickers,防水貼紙,Waterproof Stickers,防水ステッカー,HK$0.22-1.0/張,TRUE,FALSE,100,防水貼紙｜100張 HK$0.22起,熱賣中・免費設計,Waterproof Stickers｜From HK$0.22,Hot Sale · Free Design,防水ステッカー｜100枚 HK$0.22〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：防水貼紙｜100張 HK$0.22起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为防水貼紙贴在牛皮纸包裹和玻璃瓶上，防水材質耐用可靠效果真实呈现，边缘细节高清。背景虚化手作工作室桌面，自然柔光暖米调。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Waterproof Stickers｜From HK$0.22, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: Waterproof Stickers applied on kraft paper parcel and glass bottle, UV coating dimensional gloss effect realistically shown, edge details in high definition. Background: blurred craft studio desk, natural soft warm beige light. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：防水ステッカー｜100枚 HK$0.22〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：クラフト紙の小包とガラス瓶に貼られた防水ステッカー、UVコーティング立体的な光沢，防水素材耐久性あり効果がリアルに表現され、縁のディテールが鮮明。背景：ぼかした手作りスタジオの机、自然な柔らかい暖かいベージュの光。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",手作工作室桌面,品牌/電商/手作,防水材質耐用可靠
ST-002,transparent-stickers,stickers,透明貼紙,Transparent Stickers,透明ステッカー,HK$0.38-1.50/張,TRUE,FALSE,100,透明貼紙｜100張 HK$0.38起,熱賣中・免費設計,Transparent Stickers｜From HK$0.38,Hot Sale · Free Design,透明ステッカー｜100枚 HK$0.38〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：透明貼紙｜100張 HK$0.38起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为透明貼紙贴在牛皮纸包裹和玻璃瓶上，高透明無白邊效果真实呈现，边缘细节高清。背景虚化手作工作室桌面，自然柔光暖米调。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Transparent Stickers｜From HK$0.38, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: Transparent Stickers applied on kraft paper parcel and glass bottle, professional 4-color printing vibrant colors effect realistically shown, edge details in high definition. Background: blurred craft studio desk, natural soft warm beige light. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：透明ステッカー｜100枚 HK$0.38〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：クラフト紙の小包とガラス瓶に貼られた透明ステッカー、クリスタルクリア白縁なし効果がリアルに表現され、縁のディテールが鮮明。背景：ぼかした手作りスタジオの机、自然な柔らかい暖かいベージュの光。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",手作工作室桌面,品牌/電商/手作,高透明無白邊
ST-003,removable-stickers,stickers,可移貼紙(無殘膠),Removable Stickers,はがせるステッカー,HK$0.45-1.60/張,TRUE,FALSE,100,可移貼紙(無殘膠)｜100張 HK$0.45起,熱賣中・免費設計,Removable Stickers｜From HK$0.45,Hot Sale · Free Design,はがせるステッカー｜100枚 HK$0.45〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：可移貼紙(無殘膠)｜100張 HK$0.45起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为可移貼紙(無殘膠)贴在牛皮纸包裹和玻璃瓶上，專業四色印刷色彩鮮豔效果真实呈现，边缘细节高清。背景虚化手作工作室桌面，自然柔光暖米调。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Removable Stickers｜From HK$0.45, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: Removable Stickers applied on kraft paper parcel and glass bottle, professional 4-color printing vibrant colors effect realistically shown, edge details in high definition. Background: blurred craft studio desk, natural soft warm beige light. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：はがせるステッカー｜100枚 HK$0.45〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：クラフト紙の小包とガラス瓶に貼られたはがせるステッカー、プロ4色印刷鮮やかな色彩効果がリアルに表現され、縁のディテールが鮮明。背景：ぼかした手作りスタジオの机、自然な柔らかい暖かいベージュの光。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",手作工作室桌面,品牌/電商/手作,專業四色印刷色彩鮮豔
ST-004,small-batch-stickers,stickers,小批量貼紙,Small Batch Stickers,小ロットステッカー,HK$38-120/A4,TRUE,FALSE,100,小批量貼紙｜100張 HK$38起,熱賣中・免費設計,Small Batch Stickers｜From HK$38,Hot Sale · Free Design,小ロットステッカー｜100枚 HK$38〜,人気商品・無料デザイン,"1:1比例，8K超高清电商主图。左上角固定放置单一枚大红色(#DC2626)底色、白色粗体字(PingFang HK Bold)、白色3px描边的爆炸促销标签。标签主标题：小批量貼紙｜100張 HK$38起，副标题：熱賣中・免費設計。标签外画面内绝对不出现任何其他文字、乱码、水印、品牌名、多标签。 前景为小批量貼紙贴在牛皮纸包裹和玻璃瓶上，專業四色印刷色彩鮮豔效果真实呈现，边缘细节高清。背景虚化手作工作室桌面，自然柔光暖米调。 产品占画面75%-85%，材质和工艺细节高清呈现。所有中文字符必须笔画完整准确，英文单词拼写正确、无粘连、无乱码。","1:1 ratio, 8K ultra-high-definition e-commerce hero image. Top-left single burst label with deep red (#DC2626) background, white bold text (Inter Bold), white 3px stroke. Label main: Small Batch Stickers｜From HK$38, sub: Hot Sale · Free Design. Absolutely no other text, gibberish, watermarks, brand names, or multiple labels anywhere else in the image. Foreground: Small Batch Stickers applied on kraft paper parcel and glass bottle, professional 4-color printing vibrant colors effect realistically shown, edge details in high definition. Background: blurred craft studio desk, natural soft warm beige light. Product occupies 75%-85% of frame, material and craftsmanship details in high definition. All English words must be spelled correctly, no粘连, no gibberish.","1:1比率、8K超高清Eコマースメイン画像。左上に単一の赤色(#DC2626)背景、白太字(Hiragino Sans W6)、白3px縁取りのバーストラベル。ラベル主見出し：小ロットステッカー｜100枚 HK$38〜、副見出し：人気商品・無料デザイン。ラベル外の画面内に他の文字・乱码・透かし・ブランド名・複数ラベル一切禁止。 前景：クラフト紙の小包とガラス瓶に貼られた小ロットステッカー、プロ4色印刷鮮やかな色彩効果がリアルに表現され、縁のディテールが鮮明。背景：ぼかした手作りスタジオの机、自然な柔らかい暖かいベージュの光。 製品が画面の75%-85%を占める、素材と職人技のディテールが高精細。すべての文字が正確に表示されること。",手作工作室桌面,品牌/電商/手作,專業四色印刷色彩鮮豔
