SKU,Category,Slug,Product Name (ZH),Product Name (EN),Product Name (JA),Description (ZH),Description (EN),Description (JA),SEO Title (ZH),SEO Title (EN),SEO Title (JA),SEO Keywords (ZH),SEO Keywords (EN),SEO Keywords (JA),SEO Description (ZH),SEO Description (EN),SEO Description (JA),Static File Name
BC-001,business-cards,premium-business-cards,"高級商務咭片","Premium Business Cards","高級名刺","採用300g高級銅版紙，配合專業四色印刷，展現企業專業形象。可選啞膠或光膠表面處理，觸感細膩，色彩鮮豔持久。","300g premium glossy paper with professional 4-color printing. Optional matte or glossy lamination for a refined touch.","300g高級コート紙、プロ4色印刷。マットまたはグロスラミネーション選択可。","高級商務咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Premium Business Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","高級名刺 | 香港名刺印刷 | ZPrintPro","高級商務咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Premium Business Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","高級名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","採用300g高級銅版紙，配合專業四色印刷，展現企業專業形象。可選啞膠或光膠表面處理，觸感細膩，色彩鮮豔持久。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","300g premium glossy paper with professional 4-color printing. Optional matte or ... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","300g高級コート紙、プロ4色印刷。マットまたはグロスラミネーション選択可。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",premium-business-cards.html
BC-002,business-cards,thick-business-cards-400g,"厚身咭片(400g)","Thick Business Cards (400g)","厚紙名刺(400g)","400g超厚紙質，厚實手感彰顯尊貴品質。特別適合高端服務業、設計師、律師等專業人士。","400g ultra-thick paper with substantial feel. Perfect for high-end service industry, designers, lawyers.","400g超厚紙、重厚な質感。高級サービス業、デザイナー、弁護士向け。","厚身咭片(400g) | 香港專業咭片印刷 | 智印港ZPrintPro","Thick Business Cards (400g) | Professional Business Cards Printing Hong Kong | ZPrintPro","厚紙名刺(400g) | 香港名刺印刷 | ZPrintPro","厚身咭片(400g),咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Thick Business Cards (400g),Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","厚紙名刺(400g),名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","400g超厚紙質，厚實手感彰顯尊貴品質。特別適合高端服務業、設計師、律師等專業人士。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","400g ultra-thick paper with substantial feel. Perfect for high-end service indus... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","400g超厚紙、重厚な質感。高級サービス業、デザイナー、弁護士向け。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",thick-business-cards-400g.html
BC-003,business-cards,foil-business-cards,"燙金/燙銀咭片","Foil Stamped Business Cards","箔押し名刺","局部燙金或燙銀工藝，在光線下閃耀奪目，瞬間提升品牌檔次。可燙金色、銀色、玫瑰金等多種顏色。","Foil stamping in gold or silver, shining under light to elevate brand image. Available in gold, silver, rose gold.","部分的な箔押し加工、光に輝いてブランドイメージ向上。金・銀・ローズゴールド対応。","燙金/燙銀咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Foil Stamped Business Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","箔押し名刺 | 香港名刺印刷 | ZPrintPro","燙金/燙銀咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Foil Stamped Business Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","箔押し名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","局部燙金或燙銀工藝，在光線下閃耀奪目，瞬間提升品牌檔次。可燙金色、銀色、玫瑰金等多種顏色。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Foil stamping in gold or silver, shining under light to elevate brand image. Ava... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","部分的な箔押し加工、光に輝いてブランドイメージ向上。金・銀・ローズゴールド対応。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",foil-business-cards.html
BC-004,business-cards,spot-uv-business-cards,"UV局部光油咭片","Spot UV Business Cards","局部UV名刺","局部UV光油工藝，讓Logo或圖案呈現立體光澤效果，視覺衝擊力強。適合創意行業、設計公司。","Spot UV coating creates glossy, dimensional effects on logos or designs. Strong visual impact for creative industries.","部分UVコーティングでロゴやデザインに立体的な光沢効果。クリエイティブ業界向け。","UV局部光油咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Spot UV Business Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","局部UV名刺 | 香港名刺印刷 | ZPrintPro","UV局部光油咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Spot UV Business Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","局部UV名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","局部UV光油工藝，讓Logo或圖案呈現立體光澤效果，視覺衝擊力強。適合創意行業、設計公司。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Spot UV coating creates glossy, dimensional effects on logos or designs. Strong ... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","部分UVコーティングでロゴやデザインに立体的な光沢効果。クリエイティブ業界向け。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",spot-uv-business-cards.html
BC-005,business-cards,matte-business-cards,"啞膠咭片","Matte Laminated Cards","マット名刺","啞膠表面處理，低調內斂的質感，不易留下指紋。適合注重細節的專業人士。","Matte lamination provides understated elegance and resists fingerprints. For detail-oriented professionals.","マットラミネーション加工、落ち着いた質感で指紋が付きにくい。","啞膠咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Matte Laminated Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","マット名刺 | 香港名刺印刷 | ZPrintPro","啞膠咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Matte Laminated Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","マット名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","啞膠表面處理，低調內斂的質感，不易留下指紋。適合注重細節的專業人士。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Matte lamination provides understated elegance and resists fingerprints. For det... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","マットラミネーション加工、落ち着いた質感で指紋が付きにくい。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",matte-business-cards.html
BC-006,business-cards,rounded-corner-cards,"圓角咭片","Rounded Corner Cards","丸角名刺","圓角設計，柔和美觀且不易折損。展現與眾不同的品味，適合創意產業。","Rounded corners for soft aesthetics and durability. Shows unique taste, perfect for creative industries.","丸角デザイン、柔らかく美しく折れにくい。クリエイティブ業界向け。","圓角咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Rounded Corner Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","丸角名刺 | 香港名刺印刷 | ZPrintPro","圓角咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Rounded Corner Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","丸角名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","圓角設計，柔和美觀且不易折損。展現與眾不同的品味，適合創意產業。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Rounded corners for soft aesthetics and durability. Shows unique taste, perfect ... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","丸角デザイン、柔らかく美しく折れにくい。クリエイティブ業界向け。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",rounded-corner-cards.html
BC-007,business-cards,double-sided-cards,"雙面咭片","Double-sided Cards","両面名刺","雙面全彩印刷，充分利用空間展示更多信息。背面可印公司理念、產品介紹或聯絡方式。","Double-sided full color printing maximizes space for information. Back can show company values, products, or contact details.","両面フルカラー印刷で情報スペースを最大限に活用。","雙面咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Double-sided Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","両面名刺 | 香港名刺印刷 | ZPrintPro","雙面咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Double-sided Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","両面名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","雙面全彩印刷，充分利用空間展示更多信息。背面可印公司理念、產品介紹或聯絡方式。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Double-sided full color printing maximizes space for information. Back can show ... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","両面フルカラー印刷で情報スペースを最大限に活用。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",double-sided-cards.html
BC-008,business-cards,same-day-business-cards,"即日咭片印刷","Same-day Business Cards","即日名刺","緊急需求首選，最快4小時取貨。品質不打折，急件也能展現專業形象。","Emergency orders, ready in 4 hours. Quality not compromised, rush orders still look professional.","緊急注文に最適、最短4時間で受取。品質を損なわず。","即日咭片印刷 | 香港專業咭片印刷 | 智印港ZPrintPro","Same-day Business Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","即日名刺 | 香港名刺印刷 | ZPrintPro","即日咭片印刷,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Same-day Business Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","即日名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","緊急需求首選，最快4小時取貨。品質不打折，急件也能展現專業形象。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Emergency orders, ready in 4 hours. Quality not compromised, rush orders still l... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","緊急注文に最適、最短4時間で受取。品質を損なわず。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",same-day-business-cards.html
BC-009,business-cards,eco-business-cards,"環保再生紙咭片","Eco-friendly Recycled Cards","再生紙名刺","採用FSC認證環保再生紙，展現企業社會責任。質樸自然的風格，適合環保品牌。","FSC-certified recycled paper showing corporate social responsibility. Natural style for eco-friendly brands.","FSC認証再生紙、企業の社会的責任を示す。エコブランド向け。","環保再生紙咭片 | 香港專業咭片印刷 | 智印港ZPrintPro","Eco-friendly Recycled Cards | Professional Business Cards Printing Hong Kong | ZPrintPro","再生紙名刺 | 香港名刺印刷 | ZPrintPro","環保再生紙咭片,咭片印刷,香港咭片,咭片定制,咭片印刷公司,智印港,即日咭片,急印咭片,觀塘咭片","Eco-friendly Recycled Cards,Business Cards printing Hong Kong,custom business cards,business cards printing,same day business cards,ZPrintPro,Kwun Tong printing","再生紙名刺,名刺印刷,香港名刺,名刺作成,名刺印刷会社,ZPrintPro,即日名刺","採用FSC認證環保再生紙，展現企業社會責任。質樸自然的風格，適合環保品牌。 智印港提供專業咭片印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","FSC-certified recycled paper showing corporate social responsibility. Natural st... ZPrintPro offers professional business cards printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","FSC認証再生紙、企業の社会的責任を示す。エコブランド向け。 ZPrintProは香港の名刺印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",eco-business-cards.html
ST-001,stickers,waterproof-stickers,"防水貼紙","Waterproof Stickers","防水ステッカー","PVC材質防水貼紙，具有出色的防水、防曬、耐磨性能。適合戶外使用、產品標籤、車身貼紙等場景。","PVC waterproof stickers with excellent water, UV, and abrasion resistance. Perfect for outdoor use, product labels, car decals.","PVC防水ステッカー、優れた防水・UV・耐摩耗性。屋外使用、製品ラベル、車用ステッカーに最適。","防水貼紙 | 香港專業貼紙印刷 | 智印港ZPrintPro","Waterproof Stickers | Professional Stickers Printing Hong Kong | ZPrintPro","防水ステッカー | 香港ステッカー印刷 | ZPrintPro","防水貼紙,貼紙印刷,香港貼紙,貼紙定制,貼紙印刷公司,智印港,即日貼紙,急印貼紙,觀塘貼紙","Waterproof Stickers,Stickers printing Hong Kong,custom stickers,stickers printing,same day stickers,ZPrintPro,Kwun Tong printing","防水ステッカー,ステッカー印刷,香港ステッカー,ステッカー作成,ステッカー印刷会社,ZPrintPro,即日ステッカー","PVC材質防水貼紙，具有出色的防水、防曬、耐磨性能。適合戶外使用、產品標籤、車身貼紙等場景。 智印港提供專業貼紙印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","PVC waterproof stickers with excellent water, UV, and abrasion resistance. Perfe... ZPrintPro offers professional stickers printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","PVC防水ステッカー、優れた防水・UV・耐摩耗性。屋外使用、製品ラベル、車用ステッカーに最適。 ZPrintProは香港のステッカー印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",waterproof-stickers.html
ST-002,stickers,transparent-stickers,"透明貼紙","Transparent Stickers","透明ステッカー","透明PET材質，貼合後呈現無感效果，完美展現產品本身。適合化妝品、食品包裝、玻璃貼飾。","Transparent PET material creates invisible effect when applied. Perfect for cosmetics, food packaging, glass decoration.","透明PET素材、貼り付け後無感効果。化粧品、食品包装、ガラス装飾に最適。","透明貼紙 | 香港專業貼紙印刷 | 智印港ZPrintPro","Transparent Stickers | Professional Stickers Printing Hong Kong | ZPrintPro","透明ステッカー | 香港ステッカー印刷 | ZPrintPro","透明貼紙,貼紙印刷,香港貼紙,貼紙定制,貼紙印刷公司,智印港,即日貼紙,急印貼紙,觀塘貼紙","Transparent Stickers,Stickers printing Hong Kong,custom stickers,stickers printing,same day stickers,ZPrintPro,Kwun Tong printing","透明ステッカー,ステッカー印刷,香港ステッカー,ステッカー作成,ステッカー印刷会社,ZPrintPro,即日ステッカー","透明PET材質，貼合後呈現無感效果，完美展現產品本身。適合化妝品、食品包裝、玻璃貼飾。 智印港提供專業貼紙印刷服務，品質保證，價格透明，即日交貨。ISO9001認證，觀塘實體工廠。","Transparent PET material creates invisible effect when applied. Perfect for cosm... ZPrintPro offers professional stickers printing in Hong Kong. Same-day delivery, ISO9001 certified, factory-direct pricing.","透明PET素材、貼り付け後無感効果。化粧品、食品包装、ガラス装飾に最適。 ZPrintProは香港のステッカー印刷専門店。最短当日納品、ISO9001認証、工場直送価格。",transparent-stickers.html
