指标ID,维度,指标名称,定义与口径,当前基线值,基线日期,目标检查点,数据来源,采集频率,建议责任,状态,备注
S-01,SEO,"GSC 7d 点击（三站合计）","GSC 图表口径 7 天点击；三站点属性加总","≈100（W4 窗 09-09~15 实为 101，全窗最高）",2026-09-18,"每窗环比不下降；9/30 验证窗后重评","GSC 导出（图表 sheet）",每周,执行层,待下一窗,"匿名长尾占点击 84.83%，报告须随附该口径"
S-02,SEO,"GSC 28d 点击","28 天点击（图表口径）",356,2026-09-18,"10/1 月报复评（对比 9/3 基线）","GSC 导出",每月,执行层,观察,
S-03,SEO,"全站 CTR（28d）","点击 ÷ 展示（图表口径）","1.71%",2026-09-18,"位次带结构改善（21–50 带展示占比下降）","GSC 导出",每月,执行层,观察,"参照：1–3 位带 CTR 6.04% 为上限锚"
S-04,SEO,"平均位次（周）","全站平均排名（28d 窗内按周）","15.3（W4）",2026-09-18,维持趋势或改善,GSC 导出,每周,执行层,观察,
S-05,SEO,"SKU 标题达标率","半角当量落 50–57 的槽数占比（全站 300 槽）","300/300（100%）",2026-09-21,保持；新增槽 ≤57 硬闸,"sku-title-census.mjs + title-equiv.js",每周,执行层,达标,"band(58)=TRIM 为硬阻断"
S-06,SEO,"博客标题达标率","同上口径（深度长文 18 组合）","16/18 组合超带（待 E7 批）",2026-09-20,0 组合超带,"12seg 审计（online）",每周,执行层,待批,"E7 批需 K3 授权（涉主排名词）"
S-07,SEO,"技术健康基线","tsc 错误数 / encoding / build 页数 / sitemap URL","tsc 54=54；encoding 0；build ≥400；sitemap 741",2026-09-21,零新增回归；sitemap 变动可解释,门童三闸门 + 线上探针,每次推送,执行层,稳定,"tsc 存量 54 全在 quote-engine 测试"
S-08,SEO,"404 / 重定向健康","旧路径 404 残留数（BC / others 系）","0（9/8–9/10 口径）",2026-09-10,抽查 0；新增 404 即时修,线上探针,每周,执行层,稳定,
S-09,北极星,"月询盘数","008 计数器 + /quote 提交（真实值）","待回填（数据缺口）",2026-09-21,10 月首份真实值落表,008 / GA4,每月,"K3+执行层",缺数据,"闭合后替代一切过程指标口径"
S-10,SEO,"1–10 位具名查询数","28d 具名查询中位置 ≤10 的数量","344（1–3 位 130 + 4–10 位 214）",2026-09-18,环比不降,GSC 查询明细,每月,执行层,观察,
A-01,AEO,"FAQPage 线上命中率","抽样内容页中含可解析 FAQPage 的比例","15/15（100%）",2026-09-21,保持；门禁扩面后全量复测,线上探针,每月,执行层,达标,"抽样 = 类目 3 / PDP 5 / 博客 7"
A-02,AEO,"FAQ 组数达标率","博客 FAQ 组数落 4–8 区间的比例","6/6 抽样达标（4–8 组）",2026-09-21,保持,"线上 curl + 门禁",每次交付,执行层,达标,
A-03,AEO,"12 段合规（全量）","12seg checklist PASS / FAIL / WARN","PASS 128 / FAIL 33 / WARN 19",2026-09-20,FAIL 按批清零,"blog-quality-12-rules-guard --online",每周,执行层,进行中,"段 5/6/7/8 为主要缺口"
A-04,AEO,"答案块密度","段 2 快速答案块 ≥3 的页面占比（5 Pillar × 3）","PASS（15/15 组合）",2026-09-20,保持,"12seg 门禁",每周,执行层,达标,
A-05,AEO,"精选 / 产品摘要表现","产品摘要展示量与其平均位次","12,031 展示；CTR 1.73%；位 28.3",2026-09-18,摘要带位次改善,"GSC 搜索外观",每月,执行层,观察,"58% 展示为产品摘要形态"
G-01,GEO,"AI 引用抽样（ACR-7）","固定 7 词样本被 AI 答案引用数 ÷ 7（引用须定位到本站）","≥1（sticker 词已确认引用）",2026-09-21,"≥3/7（内控检查点）","人工探针（同法复测）",每月 15 日,"战略层+执行层","Baseline-0","样本小，不作统计推断"
G-02,GEO,"AI 爬虫准入","robots.txt 对 AI 抓取者显式 Allow 数","12/12（另默认全允许）",2026-09-21,保持,线上探针,每季度,执行层,达标,"含 GPTBot / PerplexityBot / ClaudeBot 等"
G-03,GEO,"llms 文件可用率","llms 系列文件 200 且内容完整比例","3/4（llms-en.txt 500）",2026-09-21,4/4,线上探针,每月,执行层,缺文件,"R-02 修复"
G-04,GEO,"语料乱码率","抽样页面含 U+FFFD / 私用区字符的比例","1/6 页（ja 首页，16.7%）",2026-09-21,0,字节扫描,每月,执行层,待修复,"R-01 修复；根因 src/lib/seo.ts"
G-05,GEO,"外部实体足迹","外部目录 / 资料页含品牌实体条目数","≥1（Kompass 条目已见）",2026-09-21,随 30 目录计划推进并计数,搜索采样,每月,执行层,进行中,"外部条目含 ISO 声称，与 R-08 联动"
G-06,GEO,"sameAs / NAP 一致性","schema sameAs 指向实存页 + 五处 NAP 对账","待清点（数据缺口）",2026-09-21,对账表 0 冲突,仓内 + 线上,每月,执行层,缺数据,"R-11"
P-01,流程,"验证窗结算率","到期验证窗已出 Δ 报告的比例","首个窗口 9/30 到期",2026-09-21,100% 按时,"title-verify-report.mjs",窗口期,执行层,待结算,"42 槽 tracker 已建"
P-02,流程,"门童健康","拦截数 / 误报数 / 复发数（周记录）","机制已定（运行中）",2026-09-21,新引入缺陷漏拦 0,门童运行日志,每周,执行层,运行中,
P-03,流程,"push 纪律合规","30min 硬下限 + 攒批阈值违规数",0（执行中）,2026-09-21,保持 0,git 记录,每推送,执行层,运行中,"禁 Start-Sleep 阻塞"
